#atom_nr (as in atomic scattering factors) - Oxide name - Wt% conversion element to oxide
14,SiO2,2.1392
13,Al2O2,1.8895
26,Fe2O3,1.4297
20,CaO,1.3992
12,MgO,1.6582
11,Na2O,1.3480
19,K2O,1.2046
